Symbol,Date,Cumulative Return,moving_avg_10_day,moving_avg_100_day
NDX,2023-02-27,-1.7576677369816024E-2,-9.1961844276250676E-2,1.3037853860533821
NDX,2023-02-28,-5.0047095054960661E-2,-1.9290691738058273E-2,1.323549257925678
NDX,2023-03-01,-0.26685107036643607,2.6274078561982711E-3,1.3482102665115561
NDX,2023-03-02,-0.3716839019406325,3.3248590830814662E-2,1.3735548431108326
NDX,2023-03-03,0.26261016835571721,1.8664824841845274E-2,1.3961590588106516
NDX,2023-03-06,0.48940737602928858,-1.0211145122856386E-2,1.4206357231384126
NDX,2023-03-07,0.17797220461025062,-3.8103169167799919E-2,1.444715102113838
NDX,2023-03-08,0.30883923760236215,-5.4356790323486946E-3,1.4737109795759642
NDX,2023-03-09,-0.14583765988969388,5.9589731578420478E-2,1.5102127570433106
NDX,2023-03-10,-0.48894403320464341,0.20348519593372,1.5444605146615078
NDX,2023-03-13,-0.29649691781925136,0.27120588591876515,1.5791492003369902
NDX,2023-03-14,0.27662780629955158,0.32510054741627936,1.6069088861986687
NDX,2023-03-15,0.38340303574125573,0.44719037004459927,1.6315978955980579
NDX,2023-03-16,1.067270741612363,0.52008330135121317,1.6661751320951959
NDX,2023-03-17,0.93981706820616817,0.6720253512057679,1.7110019654368653
NDX,2023-03-20,1.028353991004431,0.86611298345675924,1.7562402617828563
NDX,2023-03-21,1.3988704308934503,1.0214845795461296,1.7970738064153162
NDX,2023-03-22,1.037768550668501,1.1065943841069124,1.8423515922228264
NDX,2023-03-23,1.3735828386558533,1.2298118091639416,1.8894473501149271
NDX,2023-03-24,1.4519322893052704,1.3089066549950137,1.9355040649337596
NDX,2023-03-27,1.2572190430744523,1.445957190198466,1.9803274292441568
NDX,2023-03-28,1.1277258519073803,1.5673167926284703,2.0166907887277952
NDX,2023-03-29,1.6155772863115492,1.6416226160505836,2.0571462519331076
NDX,2023-03-30,1.8582191999230817,1.7245081727199607,2.0977333673684613
NDX,2023-03-31,2.3103224202406927,1.7935776152242557,2.1442297782900224
NDX,2023-04-03,2.2419500153044756,1.8524577645817026,2.1926546271731584
NDX,2023-04-04,2.1419286651145848,1.9127675997028786,2.2426226431985001
